,選　手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率,球団,成績種別
*,高橋　昂也,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,広島東洋カープ,打撃成績
*,滝田　一希,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,田中　広輔,14,40,30,2,5,0,0,0,5,0,0,2,0,0,9,1,1,6,0,.167,.167,.375,広島東洋カープ,打撃成績
*,玉村　昇悟,14,19,18,1,1,0,0,0,1,2,0,0,0,0,1,0,0,11,0,.056,.056,.105,広島東洋カープ,打撃成績
*,田村　俊介,25,69,63,5,16,0,1,1,21,4,0,1,0,0,6,1,0,14,1,.254,.333,.319,広島東洋カープ,打撃成績
*,床田　寛樹,17,38,36,3,7,1,0,0,8,0,0,0,2,0,0,0,0,10,1,.194,.222,.194,広島東洋カープ,打撃成績
*,野間　峻祥,62,146,134,9,34,2,1,0,38,13,2,1,0,1,10,1,1,25,0,.254,.284,.308,広島東洋カープ,打撃成績
*,ハーン,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,長谷部　銀次,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,羽月　隆太郎,44,51,41,14,13,1,1,0,16,3,13,4,0,0,10,0,0,14,0,.317,.390,.451,広島東洋カープ,打撃成績
*,林　晃汰,13,24,24,2,6,0,0,2,12,4,0,0,0,0,0,0,0,10,0,.250,.500,.250,広島東洋カープ,打撃成績
*,塹江　敦哉,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,森　翔平,14,23,20,0,3,0,0,0,3,0,0,0,3,0,0,0,0,10,0,.150,.150,.150,広島東洋カープ,打撃成績
*,森浦　大輔,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,矢野　雅哉,80,278,238,18,51,6,1,1,62,17,1,3,13,1,23,1,3,57,1,.214,.261,.291,広島東洋カープ,打撃成績
